H,B,S,V,R,E,F,CCI
0.4457822863909439,0.9073973943906648,0.285160008036599,0.8581035571071103,0.7572335090814564,0.6507353510013549,0.399826999483089,0.5435778893866813
0.7814847872261393,0.6604666391552294,0.3379214153709327,0.686342508272906,0.8244450855525202,0.6581320871155455,0.3969203015022328,0.5775788014771647
0.5325308341880539,1.0,0.28028754446826476,0.6006672046488128,0.5944618486154681,0.60158948638412,0.3450256817963283,0.571518093066728
0.7433221883112283,0.7029309930814128,0.3229550827618072,0.7197038270139475,0.7013934161895788,0.6380611014715949,0.3707811034550613,0.5576416127432988
0.794098018839368,0.37958349303223937,0.2515007940629042,0.7184750956500685,0.5835528175213024,0.5454420438211764,0.30479332941648285,0.5505942140290719
0.8817248663312828,0.28351189143362665,0.25180367197236253,0.9650212259425507,0.8076942075108132,0.6379511726381272,0.3741387601579833,0.5532897546452709
1.0,0.19297635791101203,0.23352886314320917,1.0,0.9928899365571526,0.6838790315222747,0.3947749281294773,0.5565398941371502
0.7447628565743517,0.6893130330354238,0.28514051103926497,0.655301450201481,0.5229455288943761,0.5794926759489796,0.3157155024271527,0.548778295267387
0.5877155273552019,0.6311744597991639,0.30595378677108603,0.6904554332838982,0.7738790549433955,0.5978356524305491,0.32521286470235267,0.5677127751619374
0.9804475051540411,0.8572545511639859,0.2914187189243544,0.6163541183922712,0.537467764009764,0.6565885315288833,0.4106690089050972,0.5471760720630692
0.833089259607426,0.6610331540561055,0.31316723405422375,0.6512901793588817,0.7701992303142987,0.6457558114781871,0.387585345164951,0.5484058337162699
1.0,0.44563722355147306,0.26772649410176563,0.5310931775878585,0.8175360919762111,0.6123985974434616,0.3584974387083596,0.5628457105066338
0.7205338590982006,1.0,0.24837930865982905,0.30299899488508475,0.89574231320233,0.6335308951690889,0.3752757737527328,0.5449489095667884
0.22466642725035818,0.8385969290230401,0.22581875276987934,0.8864392675199873,0.8469282741910467,0.6044899301508624,0.34767932204865304,0.539490680927401
0.7241641798958408,0.4404701851123726,0.2813753948911006,0.9690780884548638,0.8407882179464504,0.6511752132601256,0.4013785270170468,0.544438124155003
0.9499419083799137,1.0,0.26060437143974585,0.50177354386127,0.47782243537053964,0.6380284518102939,0.3906061679153404,0.5402558458154778
0.9264293183899737,0.4894428542133456,0.2558955078847857,0.4540461298552674,0.6792797879265675,0.561018719653988,0.3168861945016621,0.5608061708668655
